"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"C1";"100uF";"C-US025-025X050";"C025-025X050";"CAPACITOR, American symbol";"";"";"";"";
"C2";"100uF";"C-US025-025X050";"C025-025X050";"CAPACITOR, American symbol";"";"";"";"";
"C3";"100uF";"C-US025-025X050";"C025-025X050";"CAPACITOR, American symbol";"";"";"";"";
"IC1";"LM324N";"LM324N";"DIL14";"OP AMP";"";"";"";"";
"IC2";"LM324N";"LM324N";"DIL14";"OP AMP";"";"";"";"";
"IC3";"LM324N";"LM324N";"DIL14";"OP AMP";"";"";"";"";
"IC4";"LM324N";"LM324N";"DIL14";"OP AMP";"";"";"";"";
"IC5";"LM324N";"LM324N";"DIL14";"OP AMP";"";"";"";"";
"IC6";"LM324N";"LM324N";"DIL14";"OP AMP";"";"";"";"";
"IC7";"LM324N";"LM324N";"DIL14";"OP AMP";"";"";"";"";
"IC8";"LM324N";"LM324N";"DIL14";"OP AMP";"";"";"";"";
"IC9";"LM324N";"LM324N";"DIL14";"OP AMP";"";"";"";"";
"R1";"100k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";"";"";"";
"R2";"100k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";"";"";"";
"R3";"100k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";"";"";"";
"R4";"10k";"TRIM_US-B25P";"B25P";"POTENTIOMETER";"";"";"";"";
"R5";"10k";"TRIM_US-B25P";"B25P";"POTENTIOMETER";"";"";"";"";
"R6";"10k";"TRIM_US-B25P";"B25P";"POTENTIOMETER";"";"";"";"";
"R7";"10k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";"";"";"";
"R8";"10k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";"";"";"";
"R9";"10k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";"";"";"";
"R10";"10k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";"";"";"";
"R11";"10k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";"";"";"";
"R12";"10k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";"";"";"";
"R13";"100k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";"";"";"";
"R14";"100k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";"";"";"";
"R15";"100k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";"";"";"";
"R16";"100k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";"";"";"";
"R17";"100k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";"";"";"";
"R18";"100k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";"";"";"";
"R19";"91k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";"";"";"";
"R20";"91k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";"";"";"";
"R21";"91k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";"";"";"";
"R22";"1k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";"";"";"";
"R23";"1k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";"";"";"";
"R24";"1k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";"";"";"";
"R25";"91k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";"";"";"";
"R26";"91k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";"";"";"";
"R27";"91k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";"";"";"";
"R28";"75k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";"";"";"";
"R29";"75k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";"";"";"";
"R30";"75k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";"";"";"";
"R31";"75k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";"";"";"";
"R32";"75k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";"";"";"";
"R33";"75k";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";"";"";"";
"R34";"220";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";"";"";"";
"R35";"220";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";"";"";"";
"R36";"220";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";"";"";"";
"X1";"5566-10";"5566-10";"5566-10";"Mini FIT connector 10 pol";"";"";"unknown";"unknown";
"X2";"5566-6";"5566-6";"5566-6";"Mini FIT connector 6 pol";"";"95566-61002";"unknown";"22K8620";
